State B,State B code,styear,StateB primary target?,Name,UNRES,Location,dispnum,RemoveCase,stday,stmon,endday,endmon,endyear,Ongoing,cumdurat,Era,Decade,PresName,Frontier War,Era2,US HiHost,US HighAct,dyadic hostility,dyadic HighAct,HihostB,HighActB,US Orig,originatA,originatB,sideaa,InterType,Objective,ObjectiveCode,ForeignReg,BuildReg,Empire,Territory,Policy,SocialProt,Economic,ProtOwn,Outcome,BattleFatUS,BattleFatB,BattleFat,BattleLevUS,BattleLevB,BattleLev,FatUS,FatB,Fatalities,fatlevUS,fatlevB,FatLev,MaxCost,MaxTroops,MaxNavy,MaxAir,MIP,Additions to MID,MID Dummy,IMI Dummy,MIPS Dummy,CRS Dummy,ACD Dummy,National Interest Index,contiguity,ContiguityDummy,War,US milex,US milper,US irst,US pec,US tpop,US upop,US CINC,State B milex,State B milper,State B irst,State B pec,State B tpop,State B upop,State B CINC,defense,neutrality,nonaggression,entente,AllianceDummy,Alliances (1-4),Colonial land,Colonial sea,Colonial contiguity,ColonialDummy,US imports,US exports,State B imports,State B exports,Trade flow1,Trade flow2,smoothflow1,smoothflow2,smoothtotrade,spike1,spike2,dip1,dip2,trdspike,tradedip,US democ,US autoc,US polity,US polity2,US durable,State B democ,State B autoc,State B polity,State B polity2,State B durable,US Dsource,US idp,US host,US hostChange,State B source,State B idp,State B host,US nGDP,US rGDP,US nGDP capita ,US rGDP capita,US rGDPCChange,US Recession,ideal1,ideal2,absidealdiff,s2un,s3un,agree2un,agree3un,jointvotes2,jointvotes3,PHYSINT,DISAP,KILL,POLPRIS,TORT,EMPINX,ASSN,FORMOV,DOMMOV,OLD_MOVE,SPEECH,ELECSD,OLD_RELFRE,RELFRE,WORKER,WECON,WOPOL,WOSOC,INJUD,UNRegN,UNRegT,UNSUBREG,SubRegT,SubRegN,OECDReg,PTS_A,PTS_S,US Defense Spending,ChildMort,LifeExp,StateBHC,StateBrGDP ,USHC,USunemp,USDeficit,USDecifitGDP,USDeficitCon,USDebtGDP,USExpGDP,USDExpGDP,USCapInv,DefOutlay%,DODOutlays$,DOSOutlays$,SDratioOutlays$,DODOutlays%,DOSOutlays%,SDratioOutlays%,DOD BA$,DOS BA$,SDratioBA$,DOD BA%,DOS BA%,SDratioBA%,SenateDem,HouseDem,PresidentDem,DemControl,RepControl,CongressDem,CongressRep,PresElectionYear,ViolentCrime,Murder,LegacyRape,Robbery,AggravatedAssault,PropertyCrime ,Burglary,LarcenyTheft,VehicleTheft,oil_prod,oil_price_2000,oil_price_nom,oil_value_nom,oil_value_2000,oil_value_2014,gas_prod,gas_price_2000_mboe,gas_price_2000,gas_price_nom,gas_value_nom,gas_value_2000,gas_value_2014,oilgas_value_nom,oilgas_value_2000,oilgas_value_2014,oil_exports,gas_exports,coup1,coup2,coup3,coup4,democracy,assconfid,poppreselec,regime,ttd,tta,stra,Oil Dummy,Population (in thousands),MilExp_Con,ExpShareGDP,Description
LIB/ALG,620/615,1815,1,Second Barbary War,,615,,0,3,3,23,12,1815,0,290,1,,Madison,0,2,4,18,4,18,4,17,0,0,1,0,1,Maintain Empire; Policy Change; Economic Protection,3; 5; 7,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,10,0,1,1,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,9,0,9,9,6,,,,,,,,,,,,,925,14547,111.34,1751.01,-1.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Africa,15,North Africa,15,mena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8308,,,"Algiers. The second Barbary War was declared against the United States by the Dey of Algiers of the Barbary states, an act not reciprocated by the United States. Congress did authorize a military expedition by statutes. A large fleet under U.S. Commodore Stephen Decatur attacked Algiers and obtained indemnities. Tripoli. After securing an agreement from Algiers, Decatur demonstrated with his squadron at Tunis and Tripoli, where he secured indemnities for offenses during the War of 1812."
SPN,230,1817,0,First Seminole War,,230,3239,0,21,11,22,2,1819,0,468,1,,Madison,0,2,5,22,5,22,5,22,1,1,0,1,1,Acquire/Defend Territory; Economic Protection,4; 7,0,0,0,1,0,0,1,0,1,47,101,148,2,3,3,47,101,148,2,3,3,,4000,0,0,1,0,1,0,0,1,0,2,4,1,1,3823,17,80,254,8659,101,0.0396975,6512,125,10,0,11073,221,0.0463931,,,,,,,,,,1,,,,,,,,,,,,,,,,9,0,9,9,7,0,9,-9,-9,2,,,,,,,,819,14546,95.9,1703.31,-2.72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,N. America,21,N. America,21,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8540,,,"Spanish Florida—First Seminole War. The Seminole Indians, whose area was a haven for escaped slaves and border ruffians, were attacked by troops under Generals Andrew Jackson and Edmund P. Gaines and pursued into northern Florida. Spanish posts were attacked and occupied, British citizens executed. In 1819, the Floridas were ceded to the United States."
SPN,230,1817,1,Amelia Island Affair,,230,,0,23,12,23,12,1817,0,1,1,,Monroe,0,2,4,16,4,16,1,1,1,1,0,1,1,Remove Foreign Regime; Acquire/Defend Territory; Economic Protection,1; 4; 7,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,225,6,0,1,1,0,0,0,1,0,2,4,1,0,2466,15,80,277,8899,106,0.0358166,4703,126,10,0,11156,228,0.0424208,,,,,,,,,,1,,,,,,,,,,,,,,,,9,0,9,9,8,0,9,-9,-9,3,,,,,,,,769,14884,87.49,1693.33,-0.59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,N. America,21,N. America,21,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8790,,,"Amelia Island (Spanish territory off northeast Florida). Under orders of President James Monroe, United States forces landed and expelled a group of smugglers, adventurers, and freebooters."
RUS/SPN,,1818,1,Oregon Territory claims,,2,,0,19,8,20,8,1818,0,2,1,,Monroe,0,2,4,16,4,16,2,4,1,1,0,1,1,Acquire/Defend Territory,4,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,50,4,0,1,1,0,0,0,1,0,1,4,1,0,1910,14,90,302,9139,112,0.0361265,4681,126,10,0,11241,234,0.0440298,,,,,,,,,,1,,,,,,,,,,,,,,,,9,0,9,9,9,0,9,-9,-9,4,,,,,,,,737,15425,81.37,1703.12,0.58,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,N. America,21,N. America,21,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9057,,,Oregon. The USS Ontario landed at the Columbia River and in August took possession of the Oregon territory. Britain had ceded sovereignty but Russia and Spain asserted claims to the area.
SPN,230,1818,MERGED W. 1816 SPAIN ,,,,1567,1,15,3,30,5,1818,0,77,1,,Monroe,0,2,4,16,4,19,4,19,1,1,1,1,,,,,,,,,,,,1,,,,,,,,,,-9,-9,-9,,,,,1,0,1,0,0,1,0,2,4,1,0,1910,14,90,302,9139,112,0.0361265,4681,126,10,0,11241,234,0.0440298,,,,,,,,,,1,,,,,,,,,,,,,,,,9,0,9,9,9,0,9,-9,-9,4,,,,,,,,737,15425,81.37,1703.12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,N. America,21,N. America,21,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9057,,,"West Florida-Originally the Seminole war, this 1818 invasion of Spanish Florda (specifically, West Florida) eventually grew into a conflict between Spanish garrisons and Andrew Jackson's troops.  The two-and-one-half month conflict ended in an assault on the Spanish fort at Barrancas."
Africa/LBR,450,1820,0,African Slave Trade Mission,,450,,0,15,5,,,1823,0,1095,1,,Monroe,0,2,4,17,4,17,1,1,1,1,0,1,1,Acquire Territory; Social Protection & Order,4; 6,0,0,0,1,0,1,0,0,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,3,0,1,1,0,0,0,1,0,0,0,0,0,1556,15,110,303,9618,124,0.0370869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,9,9,11,,,,,,,,,,,,,710,16352,73.82,1700.17,-0.17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Africa,15,North Africa,15,ssa,,,,39.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9618,,,Africa. Naval units raided the slave traffic pursuant to the Act of 1819 by Congress which authorized U.S. armed vessels to interdict slave traders in an attempt to stop slave trade at its source and return slaves to Africa.
CUB,40,1822,0 (pirates),Landings to Suppress Piracy,,40,,0,16,1,23,10,1824,0,1012,1,,Monroe,0,2,4,18,4,18,1,1,1,1,0,0,1,Economic Protection,7,0,0,0,0,0,0,1,0,1,0,73,73,0,2,2,0,73,73,0,2,2,,62,7,0,1,1,0,0,0,1,0,2,4,1,0,1079,10,100,332,10268,136,0.0329391,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,9,0,9,9,13,,,,,,,,,,,,,805,17875,79.01,1754.32,3.18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419,Latin America & Caribbean,29,Caribbean,29,lac,,,,37.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10189,,,Cuba. United States naval forces suppressing piracy landed on the northwest coast of Cuba and burned a pirate station.
CUB,40,1823,0 (pirates),Landings in Cuba to Suppress Piracy (II),,40,,1,8,4,21,7,1823,0,105,1,,Monroe,0,2,4,18,4,18,1,1,1,1,0,0,1,Economic Protection,7,0,0,0,0,0,0,1,0,1,0,73,73,0,2,2,0,73,73,0,2,2,,62,7,0,1,1,0,0,0,1,0,2,4,1,0,1170,11,110,345,10596,143,0.0331075,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,9,0,9,9,14,,,,,,,,,,,,,759,18522,72.37,1765.97,0.66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419,Latin America & Caribbean,29,Caribbean,29,lac,,,,36.684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10488,,,Cuba. Brief landings in pursuit of pirates occurred April 8 near Escondido; April 16 near Cayo Blanco; July 11 at Siquapa Bay; July 21 at Cape Cruz; and October 23 at Camrioca.
CUB,40,1824,0 (pirates),Landings in Cuba to Suppress Piracy (III),,40,,1,19,10,23,10,1824,0,5,1,,Monroe,0,2,4,14,4,14,1,1,1,1,0,0,1,Economic Protection ,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,Unknown,1,0,1,1,0,0,0,1,0,2,4,1,0,1261,11,110,390,10924,151,0.0329776,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,9,0,9,9,15,,,,,,,,,,,,,754,19620,69.85,1817.49,2.92,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419,Latin America & Caribbean,29,Caribbean,29,lac,,,,36.332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10795,,,Cuba. In October the USS Porpoise landed bluejackets near Matanzas in pursuit of pirates.
SPN,230,1824,1,Fajardo Affair,,230,,0,1,11,14,11,1824,0,14,1,,Monroe,0,2,4,14,4,17,4,17,0,0,1,0,1,Economic Protection; Protect Military Interests,7; 8,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,,200,3,0,1,1,0,0,0,1,0,2,4,1,0,1261,11,110,390,10924,151,0.0329776,-9,93,10,0,11760,277,0.0267907,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,9,0,9,9,15,1,7,-6,-6,4,,,,,,,,754,19620,69.85,1817.49,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419,Latin America & Caribbean,29,Caribbean,29,lac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10795,,,"Puerto Rico (Spanish territory). Commodore David Porter with a landing party of 200 attacked the town of Fajardo, which had sheltered pirates and insulted American naval officers forcing an apology. Commodore Porter was later court-martialed for overstepping his authority."
CUB,40,1825,0,Piracy Battle,,40,,0,25,3,25,3,1825,0,1,1,,Quincy Adams,0,2,4,19,4,19,4,19,1,1,0,1,2,Economic Protection,7,0,0,0,0,0,0,1,0,1,0,8,8,0,1,1,0,8,8,0,1,1,,35,3,0,1,1,0,0,0,1,0,2,4,1,0,1336,11,120,424,11252,158,0.034215,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,9,0,9,9,16,,,,,,,,,,,,,822,20498,73.95,1844.13,1.47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419,Latin America & Caribbean,29,Caribbean,29,lac,,,,36.567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11115,,,"Cuba. During March, cooperating American and British forces landed at Sagua La Grande, along the north coast of the Villa Clara province, to capture pirates."
GRC,350,1827,1,Anti-Piracy Operations in the Cyclades,,350,,0,25,9,6,12,1827,0,73,1,,Quincy Adams,0,2,4,19,4,19,4,19,0,0,1,0,2,"Humanitarian Intervention, Economic Protection","6.2, 7",0,0,0,0,0,1,1,0,1,1,85,86,1,2,2,1,85,86,1,2,2,,40,4,0,1,1,0,0,0,1,0,0,0,0,0,1663,12,130,556,11909,175,0.0357089,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,9,0,9,9,18,0,5,-5,-5,0,,,,,,,,916,21886,77.65,1855.18,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,Europe,39,S. Europe,39,eca,,,,36.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11797,,,"Greece. In October and November landing parties hunted pirates on the Mediterranean islands of Argentiere, Miconi, and Androse."
